                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3461,                 7.5676,                 4.4415,                      0,                      0,                      0,                      0,                 3.7133,                 5.9571,                 4.1607,              0.0002625,              0.0002625,              0.0002625
                      2,                 4.2043,                 6.8276,                 4.1465,                      0,                      0,                      0,                      0,                 3.7091,                 5.8259,                 4.1626,             0.00053218,             0.00053218,             0.00053218
                      3,                 3.7375,                  5.719,                 3.7745,                      0,                      0,                      0,                      0,                 3.7073,                 5.5203,                  4.167,             0.00079641,             0.00079641,             0.00079641
                      4,                 3.4915,                 5.2299,                  3.437,                      0,                      0,                      0,                      0,                  3.702,                 5.0975,                 4.1739,              0.0010552,              0.0010552,              0.0010552
                      5,                 3.1229,                 4.6992,                 3.2391,                      0,                      0,                      0,                      0,                 3.6547,                 5.3219,                 4.2277,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.1035,                 4.2114,                 2.9597,                0.50115,                0.01515,                 0.0004,                0.00013,                 3.4764,                 5.0934,                 3.8973,              0.0012005,              0.0012005,              0.0012005
                      7,                 2.9282,                  3.799,                 2.8287,                0.34749,                0.08117,                0.05123,                0.01474,                 2.9946,                 4.4592,                 3.1143,              0.0011881,              0.0011881,              0.0011881
                      8,                 2.7411,                 3.5429,                 2.5739,                 0.1637,                0.21892,                0.15965,                0.06315,                 2.5942,                 3.7725,                  2.882,              0.0011757,              0.0011757,              0.0011757
                      9,                 2.6065,                 3.4315,                  2.479,                0.29705,                0.13939,                0.10772,                0.04233,                 2.4707,                 3.4666,                 2.6995,              0.0011634,              0.0011634,              0.0011634
                     10,                 2.6705,                 3.3222,                 2.3905,                0.33645,                0.20391,                0.22548,                0.07954,                 2.4222,                 3.0436,                 2.5007,               0.001151,               0.001151,               0.001151
                     11,                 2.6231,                 3.2693,                 2.4025,                0.42759,                0.20674,                0.21437,                0.09709,                 2.2326,                 2.8746,                 2.3803,              0.0011386,              0.0011386,              0.0011386
                     12,                 2.4748,                 3.0493,                 2.2644,                0.14417,                 0.2822,                0.15112,                0.05322,                 2.4201,                 3.2654,                 2.4309,              0.0011263,              0.0011263,              0.0011263
                     13,                 2.4049,                 2.8773,                 2.1946,                0.49927,                0.33228,                0.28439,                0.13828,                 2.2389,                 2.7125,                 2.4019,              0.0011139,              0.0011139,              0.0011139
                     14,                 2.3107,                 2.8872,                  2.116,                0.72586,                0.17643,                0.25771,                0.11891,                 2.2481,                 2.6951,                  2.398,              0.0011015,              0.0011015,              0.0011015
